,precision,recall,f1-score,support
B-ROOM_AMENITIES#QUALITY#NEGATIVE,0.2727272727272727,0.16666666666666666,0.20689655172413793,18.0
B-ROOM_AMENITIES#QUALITY#POSITIVE,0.0,0.0,0.0,4.0
B-ROOM_AMENITIES#STYLE&OPTIONS#NEGATIVE,0.4,0.13333333333333333,0.2,15.0
B-ROOM_AMENITIES#STYLE&OPTIONS#POSITIVE,0.25,0.07142857142857142,0.11111111111111112,14.0
B-SERVICE#CLEANLINESS#NEGATIVE,0.0,0.0,0.0,1.0
B-SERVICE#COMFORT#NEGATIVE,0.0,0.0,0.0,1.0
B-SERVICE#COMFORT#POSITIVE,0.0,0.0,0.0,3.0
B-SERVICE#DESIGN&FEATURES#POSITIVE,0.0,0.0,0.0,1.0
B-SERVICE#GENERAL#NEGATIVE,0.4444444444444444,0.25,0.32,32.0
B-SERVICE#GENERAL#POSITIVE,0.8377358490566038,0.8538461538461538,0.8457142857142858,260.0
B-SERVICE#MISCELLANEOUS#NEGATIVE,0.0,0.0,0.0,2.0
B-SERVICE#PRICES#NEGATIVE,0.0,0.0,0.0,2.0
B-SERVICE#PRICES#POSITIVE,0.0,0.0,0.0,3.0
B-SERVICE#QUALITY#NEGATIVE,0.0,0.0,0.0,3.0
B-SERVICE#QUALITY#POSITIVE,0.0,0.0,0.0,3.0
B-SERVICE#STYLE&OPTIONS#NEGATIVE,0.2,0.2,0.20000000000000004,5.0
B-SERVICE#STYLE&OPTIONS#POSITIVE,0.0,0.0,0.0,15.0
I-FACILITIES#CLEANLINESS#POSITIVE,1.0,1.0,1.0,1.0
I-FACILITIES#COMFORT#NEGATIVE,0.4,0.4,0.4000000000000001,5.0
I-FACILITIES#COMFORT#POSITIVE,0.0,0.0,0.0,2.0
I-FACILITIES#DESIGN&FEATURES#NEGATIVE,0.5,0.25,0.3333333333333333,12.0
I-FACILITIES#DESIGN&FEATURES#POSITIVE,0.75,0.2857142857142857,0.4137931034482759,21.0
I-FACILITIES#GENERAL#POSITIVE,1.0,0.125,0.2222222222222222,8.0
I-FACILITIES#PRICES#NEGATIVE,0.0,0.0,0.0,2.0
I-FACILITIES#QUALITY#NEGATIVE,1.0,0.2631578947368421,0.4166666666666667,19.0
I-FACILITIES#QUALITY#POSITIVE,0.0,0.0,0.0,2.0
I-FACILITIES#STYLE&OPTIONS#NEGATIVE,0.5,0.8333333333333334,0.625,6.0
I-FOOD&DRINKS#DESIGN&FEATURES#POSITIVE,0.0,0.0,0.0,1.0
I-FOOD&DRINKS#GENERAL#NEGATIVE,0.0,0.0,0.0,5.0
I-FOOD&DRINKS#GENERAL#POSITIVE,0.6666666666666666,0.5,0.5714285714285715,12.0
I-FOOD&DRINKS#PRICES#POSITIVE,0.0,0.0,0.0,3.0
I-FOOD&DRINKS#QUALITY#NEGATIVE,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
I-FOOD&DRINKS#QUALITY#POSITIVE,0.62,0.775,0.6888888888888889,40.0
I-FOOD&DRINKS#STYLE&OPTIONS#NEGATIVE,0.35135135135135137,0.4482758620689655,0.393939393939394,29.0
I-FOOD&DRINKS#STYLE&OPTIONS#NEUTRAL,0.0,0.0,0.0,1.0
I-FOOD&DRINKS#STYLE&OPTIONS#POSITIVE,0.7777777777777778,0.19444444444444445,0.3111111111111111,36.0
I-HOTEL#CLEANLINESS#NEGATIVE,0.0,0.0,0.0,1.0
I-HOTEL#CLEANLINESS#POSITIVE,0.5,0.25,0.3333333333333333,4.0
I-HOTEL#COMFORT#NEGATIVE,0.0,0.0,0.0,9.0
I-HOTEL#COMFORT#POSITIVE,0.0,0.0,0.0,2.0
I-HOTEL#DESIGN&FEATURES#NEGATIVE,0.0,0.0,0.0,8.0
I-HOTEL#DESIGN&FEATURES#POSITIVE,0.4,0.2,0.26666666666666666,20.0
I-HOTEL#GENERAL#NEGATIVE,0.0,0.0,0.0,3.0
I-HOTEL#GENERAL#NEUTRAL,0.0,0.0,0.0,3.0
I-HOTEL#GENERAL#POSITIVE,0.35,0.35,0.35,20.0
I-HOTEL#MISCELLANEOUS#NEGATIVE,0.0,0.0,0.0,1.0
I-HOTEL#PRICES#NEGATIVE,0.0,0.0,0.0,2.0
